prompt,question,options,answer,gpt4_label
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","A programmer wrote the program below. The program uses a list of numbers called numList. The program is intended to display the sum of the numbers in the list.
 sum ← numList [1]
 FOR EACH value IN numList
 sum ← sum + value
 DISPLAY sum
 In order to test the program, the programmer initializes numList to [0 , 1 , 4 , 5]. The program displays 10, and the programmer concludes that the program works as intended. Which of the following is true?","['0. The conclusion is correct; the program works as intended.', '1. The conclusion is incorrect; the program does not display the correct value for the test case [0, 1, 4, 5].', '2. The conclusion is incorrect; using the test case [0, 1, 4, 5] is not sufficient to conclude the program is correct.', '3. The conclusion is incorrect; using the test case [0, 1, 4, 5] only confirms that the program works for lists in increasing order.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Dworkin contends that to every legal question there is only one right answer. Which proposition below is most inconsistent with this claim?,"['0. In hard cases judges generally decide cases on the basis of rights.', '1. The rights of the parties feature in the determination of most cases before the courts.', '2. Judges exercise strong discretion.', ""3. Judges seek the best 'fit' with constitutional and institutional history.""]",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","In general, animal cells differ from plant cells in that animal cells have","['0. a cell wall made of cellulose', '1. lysosomes', '2. large vacuoles that store water', '3. centrioles within centrosomes']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",What was the prevailing notion prior to the time of Lyell and Darwin?,"['0. Earth is a few thousand years old, and populations are unchanging.', '1. Earth is a few thousand years old, and populations gradually change.', '2. Earth is millions of years old, and populations rapidly change.', '3. Earth is millions of years old, and populations are unchanging.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","Local caching of files is common in distributed file systems, but it has the disadvantage that","['0. Temporary inconsistencies among views of a file by different machines can result', '1. The file system is likely to be corrupted when a computer crashes', '2. A much higher amount of network traffic results', '3. Caching makes file migration impossible']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Production possibilities frontiers are concave to the origin because,"['0. of inefficiencies in the economy.', '1. of opportunity cost.', '2. of the law of increasing costs.', '3. of constant opportunity costs.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",What is the source of the material that causes meteor showers?,"['0. Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.', ""1. Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky."", ""2. The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky."", ""3. The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.""]",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I let my dog hump all the dogs in the dog park. Scenario 2 | I put my son's dishes in the dishwasher and started it.","['0. Wrong, Wrong', '1. Wrong, Not wrong', '2. Not wrong, Wrong', '3. Not wrong, Not wrong']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",The American health care system is primarily dominated by which network?,"['0. The public sector', '1. The private sector', '2. The VA system', '3. None, all are equally important']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}", Patrick Lee and Robert George argue that human embryos are complete human beings because,"['0. they are complete organisms that are genetically human.', '1. unlike cells of the mother or father, their growth is directed toward survival and maturation.', '2. both A and B', '3. neither A nor B']",2,QA
